Question ID,Question,Expected Source,Retrieved Sources,Context Relevance,Top Chunk Distance,Generated Answer,Grounded Status,Accuracy,Notes
1,What are the four Coffman conditions required for a deadlock to occur?,cs102_operating_systems.pdf (Page 3),"cs102_operating_systems.pdf (P.3), cs102_operating_systems.pdf (P.3), cs105_python_concurrency.pdf (P.3), cs103_database_acid_indexing.pdf (P.2)",High,0.441,"According to the provided context from SOURCE [1] on page 3, the four Coffman conditions required for a deadlock to occur are:

1. Mutual Exclusion: At least one resource must be held in a non-shareable mode, meaning onl...",Grounded,Correct,Retrieved relevant chunk from cs102_operating_systems.pdf (Page 3).
2,Explain the TCP 3-way handshake process for establishing a connection.,cs104_computer_networks.pdf (Page 2),"cs104_computer_networks.pdf (P.2), cs104_computer_networks.pdf (P.3), cs104_computer_networks.pdf (P.2), cs104_computer_networks.pdf (P.1)",High,0.6385,"The TCP 3-way handshake process for establishing a connection is as follows:

1. SYN: The client chooses an Initial Sequence Number (ISN) x and sends a segment with the SYN flag set, which includes SYN=1, Seq=x.

2. SYN-...",Grounded,Correct,Retrieved relevant chunk from cs104_computer_networks.pdf (Page 2).
3,What is the difference between B-Tree and B+ Tree indexing in database storage?,cs103_database_acid_indexing.pdf (Page 3),"cs103_database_acid_indexing.pdf (P.3), cs103_database_acid_indexing.pdf (P.3), cs103_database_acid_indexing.pdf (P.2), cs101_algorithms_complexity.pdf (P.1)",High,0.4049,"According to the provided context, the main difference between B-Tree and B+ Tree indexing lies in the storage of data records. In a B+ Tree, all actual data records (or pointers to data tuples) reside exclusively in the...",Grounded,Correct,Retrieved relevant chunk from cs103_database_acid_indexing.pdf (Page 3).
4,Why does CPython employ a Global Interpreter Lock (GIL) and how does it affect CPU-bound tasks?,cs105_python_concurrency.pdf (Page 1),"cs105_python_concurrency.pdf (P.1), cs105_python_concurrency.pdf (P.1), cs105_python_concurrency.pdf (P.3), cs105_python_concurrency.pdf (P.1)",High,0.3197,"According to the provided context, CPython employs a Global Interpreter Lock (GIL) to simplify memory management, specifically to avoid the overhead of atomic reference-counting operations required for garbage collection...",Grounded,Correct,Retrieved relevant chunk from cs105_python_concurrency.pdf (Page 1).
5,What are the three cases of the Master Theorem for solving recurrence relations?,cs101_algorithms_complexity.pdf (Page 2),"cs101_algorithms_complexity.pdf (P.2), cs101_algorithms_complexity.pdf (P.2), cs102_operating_systems.pdf (P.3), cs101_algorithms_complexity.pdf (P.1)",High,0.7586,"According to the provided context, the three cases of the Master Theorem for solving recurrence relations are as follows:

1. Case 1: If f(n) = O(n^(log_b(a) - epsilon)) for some epsilon > 0, then T(n) = Theta(n^(log_b(a...",Grounded,Correct,Retrieved relevant chunk from cs101_algorithms_complexity.pdf (Page 2).
6,Explain Belady's Anomaly and identify which page replacement algorithm is immune to it.,cs102_operating_systems.pdf (Page 2),"cs102_operating_systems.pdf (P.2), cs102_operating_systems.pdf (P.2), cs102_operating_systems.pdf (P.2), cs103_database_acid_indexing.pdf (P.2)",High,0.8933,"Belady's Anomaly refers to a situation in which increasing the number of page frames allocated to a process leads to an increase in the total number of page faults, which is counterint0 to the expectation that more memor...",Grounded,Correct,Retrieved relevant chunk from cs102_operating_systems.pdf (Page 2).
7,What are the differences between Read Committed and Serializable isolation levels in SQL?,cs103_database_acid_indexing.pdf (Page 2),"cs103_database_acid_indexing.pdf (P.2), cs103_database_acid_indexing.pdf (P.2), cs103_database_acid_indexing.pdf (P.1), cs103_database_acid_indexing.pdf (P.2)",High,0.4176,"According to the provided context, the differences between Read Committed and Serializable isolation levels in SQL are as follows:


- Read Committed:

  - Prevents Dirty Reads.

  - Guarantees that any data read is comm...",Grounded,Incorrect,Retrieved relevant chunk from cs103_database_acid_indexing.pdf (Page 2).
8,How does TCP flow control differ from TCP congestion control?,cs104_computer_networks.pdf (Page 2),"cs104_computer_networks.pdf (P.2), cs104_computer_networks.pdf (P.2), cs104_computer_networks.pdf (P.1), cs104_computer_networks.pdf (P.1)",High,0.7923,Flow Control in TCP ensures that a fast sender does not overwh0verwhelm a slow receiver's buffer space by guaranteeing that the amount of data sent does not exceed the receiver's advertised buffer capacity. Congestion Co...,Grounded,Correct,Retrieved relevant chunk from cs104_computer_networks.pdf (Page 2).
9,Why can race conditions occur in Python multi-threaded code despite the existence of the GIL?,cs105_python_concurrency.pdf (Page 3),"cs105_python_concurrency.pdf (P.3), cs105_python_concurrency.pdf (P.1), cs105_python_concurrency.pdf (P.1), cs105_python_concurrency.pdf (P.1)",High,0.4907,"I could not find this information in the provided documents. The documents discuss the implications of the GIL and how it affects multi-threaded tasks in Python, but they do not provide specific reasons why race conditio...",Grounded,Incorrect,Retrieved relevant chunk from cs105_python_concurrency.pdf (Page 3).
10,Under what conditions does Quicksort degrade to O(n^2) worst-case time complexity?,cs101_algorithms_complexity.pdf (Page 1),"cs101_algorithms_complexity.pdf (P.1), cs101_algorithms_complexity.pdf (P.1), cs101_algorithms_complexity.pdf (P.1), cs101_algorithms_complexity.pdf (P.1)",High,0.484,"I could not find this information in the provided documents. The context does not specify the conditions under which Quicksort degrades to O(n^2) worst-case time complexity. However, it does mention that in the worst cas...",Grounded,Incorrect,Retrieved relevant chunk from cs101_algorithms_complexity.pdf (Page 1).
11,What are the primary therapeutic indications for Metformin in clinical medicine?,None (Out-of-Domain),"cs101_algorithms_complexity.pdf (P.2), cs104_computer_networks.pdf (P.3), cs105_python_concurrency.pdf (P.3), cs104_computer_networks.pdf (P.2)",Low / Not Present,1.7117,I could not find this information in the provided documents.,Grounded,Correct,Successfully rejected out-of-domain query.
12,What were the primary socioeconomic causes of the French Revolution in 1789?,None (Out-of-Domain),"cs101_algorithms_complexity.pdf (P.2), cs103_database_acid_indexing.pdf (P.1), cs104_computer_networks.pdf (P.3), cs104_computer_networks.pdf (P.2)",Low / Not Present,1.7484,I could not find this information in the provided documents.,Grounded,Correct,Successfully rejected out-of-domain query.
